2006-08-29,data/MSFT2
2013-04-11,data/MSFT2
2013-04-12,data/MSFT2
2013-04-15,data/MSFT2
2013-04-17,data/MSFT2
2014-09-11,data/MSFT2
2014-09-10,data/MSFT2
2010-11-10,data/ORCL2
2015-07-09,data/MSFT2
2015-07-08,data/MSFT2
2015-07-07,data/MSFT2
2015-07-06,data/YHOO2
2015-07-01,data/MSFT2
2015-07-02,data/MSFT2
2012-02-07,data/YHOO2
2012-02-06,data/ORCL2
2012-02-01,data/GOOGL
2012-02-03,data/ORCL2
2012-02-02,data/MSFT2
2012-02-09,data/YHOO2
2012-02-08,data/ORCL2
2007-03-28,data/MSFT2
2007-03-29,data/MSFT2
2010-09-13,data/ORCL2
2013-03-11,data/MSFT2
2013-03-12,data/YHOO2
2013-03-13,data/MSFT2
2013-03-14,data/MSFT2
2013-03-15,data/MSFT2
2013-03-18,data/ORCL2
2013-03-19,data/MSFT2
2009-12-08,data/MSFT2
2009-12-09,data/GOOGL
2012-05-29,data/ORCL2
2010-10-22,data/ORCL2
2013-12-16,data/YHOO2
2010-10-21,data/MSFT2
2010-10-26,data/ORCL2
2010-10-27,data/YHOO2
2012-05-24,data/MSFT2
2010-10-25,data/MSFT2
2012-03-19,data/ORCL2
2012-03-13,data/ORCL2
2012-03-12,data/MSFT2
2012-03-15,data/MSFT2
2012-03-14,data/MSFT2
2012-03-16,data/GOOGL
2004-11-22,data/ORCL2
2004-11-23,data/MSFT2
2007-05-04,data/ORCL2
2004-11-26,data/MSFT2
2007-05-03,data/ORCL2
2004-11-24,data/MSFT2
2004-11-29,data/MSFT2
2007-05-08,data/MSFT2
2007-05-09,data/MSFT2
2009-11-23,data/ORCL2
2009-11-20,data/MSFT2
2009-11-27,data/ORCL2
2009-11-25,data/MSFT2
2009-11-24,data/MSFT2
2005-10-11,data/MSFT2
2005-10-10,data/MSFT2
2015-04-08,data/MSFT2
2014-05-30,data/ORCL2
2005-04-08,data/MSFT2
2007-08-09,data/ORCL2
2007-08-08,data/MSFT2
2014-10-29,data/MSFT2
2004-12-01,data/YHOO2
2014-10-27,data/MSFT2
2004-12-03,data/MSFT2
2004-12-02,data/ORCL2
2005-08-23,data/MSFT2
2013-03-04,data/MSFT2
2005-08-25,data/ORCL2
2005-08-24,data/MSFT2
2013-08-26,data/MSFT2
2005-08-26,data/MSFT2
2013-08-28,data/MSFT2
2014-05-29,data/YHOO2
2012-04-10,data/YHOO2
2012-08-03,data/MSFT2
2013-12-13,data/ORCL2
2013-12-11,data/MSFT2
2012-08-07,data/MSFT2
2012-08-06,data/ORCL2
2012-08-09,data/MSFT2
2012-08-08,data/MSFT2
2014-09-30,data/MSFT2
2010-08-16,data/MSFT2
2010-08-17,data/YHOO2
2010-08-12,data/MSFT2
2010-08-13,data/MSFT2
2010-08-11,data/MSFT2
2007-12-20,data/MSFT2
2007-12-21,data/MSFT2
2007-12-24,data/ORCL2
2007-12-26,data/MSFT2
2013-10-29,data/MSFT2
2013-10-28,data/MSFT2
2013-10-25,data/MSFT2
2013-10-24,data/MSFT2
2013-10-23,data/ORCL2
2013-10-22,data/GOOGL
2013-12-12,data/MSFT2
2010-12-17,data/MSFT2
2006-04-21,data/MSFT2
2006-04-26,data/MSFT2
2006-04-24,data/MSFT2
2006-04-25,data/MSFT2
2010-09-09,data/MSFT2
2011-02-02,data/MSFT2
2011-02-03,data/ORCL2
2015-03-03,data/GOOGL
2011-02-01,data/YHOO2
2015-03-05,data/MSFT2
2011-02-07,data/YHOO2
2011-02-04,data/MSFT2
2006-04-20,data/MSFT2
2009-11-18,data/MSFT2
2009-11-19,data/GOOGL
2009-11-12,data/ORCL2
2009-11-13,data/MSFT2
2009-11-10,data/MSFT2
2009-11-11,data/MSFT2
2009-11-16,data/YHOO2
2009-11-17,data/ORCL2
2012-11-20,data/MSFT2
2013-12-17,data/MSFT2
2006-11-01,data/MSFT2
2014-09-29,data/ORCL2
2010-02-18,data/YHOO2
2010-02-16,data/MSFT2
2010-02-17,data/ORCL2
2010-02-11,data/MSFT2
2010-02-12,data/ORCL2
2009-10-09,data/MSFT2
2012-08-30,data/MSFT2
2014-01-06,data/ORCL2
2014-01-03,data/MSFT2
2006-12-29,data/MSFT2
2006-12-28,data/MSFT2
2014-01-08,data/MSFT2
2014-01-09,data/MSFT2
2014-02-20,data/YHOO2
2009-12-11,data/ORCL2
2009-12-10,data/MSFT2
2007-03-30,data/MSFT2
2013-03-07,data/MSFT2
2013-03-06,data/MSFT2
2013-03-05,data/GOOGL
2013-02-07,data/YHOO2
2010-01-06,data/MSFT2
2010-01-07,data/MSFT2
2013-03-01,data/MSFT2
2010-01-08,data/YHOO2
2012-01-31,data/MSFT2
2012-01-30,data/YHOO2
2013-03-08,data/ORCL2
2015-06-24,data/ORCL2
2015-06-25,data/MSFT2
2015-06-26,data/MSFT2
2015-06-23,data/MSFT2
2012-05-30,data/MSFT2
2014-07-21,data/MSFT2
2015-06-29,data/ORCL2
2012-11-16,data/MSFT2
2012-11-14,data/YHOO2
2012-11-15,data/GOOGL
2006-11-08,data/MSFT2
2006-11-09,data/MSFT2
2006-11-06,data/MSFT2
2006-11-07,data/MSFT2
2006-11-02,data/MSFT2
2006-11-03,data/MSFT2
2012-11-19,data/MSFT2
2004-11-30,data/MSFT2
2015-02-27,data/ORCL2
2013-11-29,data/MSFT2
2013-11-26,data/ORCL2
2013-11-27,data/MSFT2
2014-07-18,data/MSFT2
2012-10-08,data/ORCL2
2007-04-23,data/MSFT2
2007-04-20,data/MSFT2
2007-04-25,data/ORCL2
2007-04-24,data/MSFT2
2014-10-31,data/MSFT2
2014-10-30,data/ORCL2
2015-03-02,data/MSFT2
2015-03-04,data/MSFT2
2013-08-30,data/YHOO2
2006-08-31,data/MSFT2
2006-08-30,data/MSFT2
2010-11-05,data/ORCL2
2012-04-04,data/ORCL2
2012-04-03,data/MSFT2
2012-04-09,data/MSFT2
2010-11-08,data/MSFT2
2013-12-03,data/MSFT2
2013-08-27,data/MSFT2
2010-08-03,data/MSFT2
2010-08-02,data/YHOO2
2010-07-28,data/MSFT2
2010-07-29,data/MSFT2
2009-12-07,data/MSFT2
2010-12-28,data/ORCL2
2010-12-29,data/ORCL2
2010-12-20,data/ORCL2
2010-11-26,data/MSFT2
2010-12-22,data/ORCL2
2010-12-23,data/ORCL2
2010-12-27,data/MSFT2
2013-07-30,data/MSFT2
2013-07-31,data/YHOO2
2011-01-10,data/MSFT2
2011-01-11,data/MSFT2
2011-01-12,data/YHOO2
2011-01-13,data/MSFT2
2010-09-10,data/MSFT2
2006-09-01,data/MSFT2
2010-09-14,data/MSFT2
2009-12-22,data/MSFT2
2009-12-23,data/MSFT2
2009-12-21,data/MSFT2
2009-12-24,data/MSFT2
2009-12-28,data/MSFT2
2015-03-30,data/YHOO2
2015-03-31,data/YHOO2
2006-03-30,data/ORCL2
2006-03-31,data/ORCL2
2015-04-01,data/YHOO2
2015-04-02,data/MSFT2
2015-04-06,data/YHOO2
2015-04-07,data/MSFT2
2006-06-23,data/YHOO2
2006-06-26,data/MSFT2
2006-06-28,data/MSFT2
2006-06-29,data/MSFT2
2013-02-08,data/MSFT2
2014-07-24,data/ORCL2
2013-02-05,data/ORCL2
2013-02-06,data/YHOO2
2012-05-25,data/ORCL2
2014-07-22,data/YHOO2
2014-07-23,data/GOOGL
2009-11-06,data/MSFT2
2011-04-13,data/MSFT2
2014-06-10,data/MSFT2
2014-06-11,data/ORCL2
2011-04-15,data/MSFT2
2011-04-14,data/MSFT2
2011-04-19,data/ORCL2
2011-04-18,data/MSFT2
2014-02-10,data/MSFT2
2007-04-10,data/MSFT2
2007-04-11,data/MSFT2
2014-02-11,data/MSFT2
2007-04-19,data/GOOGL
2011-05-25,data/MSFT2
2011-05-24,data/MSFT2
2011-05-20,data/YHOO2
2011-05-23,data/MSFT2
2007-06-28,data/MSFT2
2013-08-08,data/YHOO2
2013-08-09,data/MSFT2
2007-06-25,data/MSFT2
2013-08-07,data/ORCL2
2007-06-27,data/YHOO2
2007-06-26,data/MSFT2
2013-08-02,data/ORCL2
2013-08-01,data/ORCL2
2010-11-30,data/MSFT2
2012-08-29,data/ORCL2
2012-08-28,data/ORCL2
2010-12-21,data/ORCL2
2012-08-21,data/GOOGL
2012-08-20,data/MSFT2
2012-08-23,data/MSFT2
2012-08-22,data/MSFT2
2012-08-27,data/MSFT2
2009-10-12,data/MSFT2
2013-08-06,data/MSFT2
2005-05-19,data/MSFT2
2005-05-18,data/MSFT2
2005-05-13,data/YHOO2
2005-05-17,data/MSFT2
2005-05-16,data/MSFT2
2010-01-11,data/ORCL2
2013-08-05,data/YHOO2
2015-06-30,data/ORCL2
2014-02-24,data/MSFT2
2014-02-21,data/MSFT2
2012-05-01,data/ORCL2
2007-05-07,data/MSFT2
2006-11-10,data/ORCL2
2006-11-13,data/MSFT2
2012-12-26,data/MSFT2
2012-12-27,data/ORCL2
2012-12-24,data/MSFT2
2012-12-20,data/ORCL2
2012-12-21,data/YHOO2
2012-02-29,data/MSFT2
2012-02-28,data/YHOO2
2012-02-27,data/MSFT2
2012-02-24,data/ORCL2
2012-02-23,data/MSFT2
2012-02-21,data/MSFT2
2015-05-21,data/MSFT2
2015-05-20,data/MSFT2
2015-05-22,data/YHOO2
2012-04-30,data/MSFT2
2012-10-11,data/ORCL2
2012-10-10,data/ORCL2
2012-10-12,data/YHOO2
2014-08-22,data/MSFT2
2014-08-27,data/MSFT2
2014-08-26,data/ORCL2
2014-08-25,data/MSFT2
2014-08-28,data/GOOGL
2014-10-02,data/MSFT2
2014-10-03,data/MSFT2
2012-04-05,data/YHOO2
2010-11-04,data/GOOGL
2009-10-14,data/ORCL2
2014-09-08,data/GOOGL
2014-09-09,data/MSFT2
2009-10-13,data/GOOGL
2010-07-30,data/MSFT2
2010-11-09,data/MSFT2
2015-07-14,data/ORCL2
2015-07-15,data/YHOO2
2015-07-10,data/ORCL2
2010-12-31,data/YHOO2
2010-12-30,data/MSFT2
2006-04-04,data/MSFT2
2006-04-03,data/ORCL2
2013-07-29,data/MSFT2
2012-02-17,data/ORCL2
2012-02-14,data/MSFT2
2012-02-15,data/ORCL2
2012-02-13,data/MSFT2
2012-02-10,data/MSFT2
2015-03-27,data/ORCL2
2013-03-25,data/MSFT2
2013-03-26,data/MSFT2
2013-03-21,data/MSFT2
2013-03-20,data/MSFT2
2013-03-22,data/GOOGL
2015-06-02,data/MSFT2
2015-06-03,data/YHOO2
2015-06-04,data/ORCL2
2015-06-05,data/MSFT2
2006-03-29,data/MSFT2
2015-04-10,data/MSFT2
2007-01-03,data/MSFT2
2007-01-04,data/MSFT2
2007-01-05,data/MSFT2
2012-03-08,data/MSFT2
2012-03-09,data/MSFT2
2012-03-02,data/GOOGL
2012-03-01,data/GOOGL
2012-03-06,data/MSFT2
2012-03-07,data/GOOGL
2012-03-05,data/MSFT2
2013-02-13,data/MSFT2
2013-02-12,data/MSFT2
2013-02-11,data/MSFT2
2013-02-15,data/MSFT2
2013-02-14,data/MSFT2
2013-02-19,data/MSFT2
2005-10-06,data/YHOO2
2005-10-07,data/MSFT2
2005-10-05,data/ORCL2
2010-01-12,data/MSFT2
2007-04-03,data/MSFT2
2007-04-02,data/ORCL2
2007-04-05,data/YHOO2
2007-04-04,data/YHOO2
2007-04-09,data/MSFT2
2005-04-11,data/MSFT2
2005-04-12,data/YHOO2
2005-04-13,data/MSFT2
2005-04-14,data/MSFT2
2011-05-19,data/GOOGL
2007-08-10,data/ORCL2
2006-10-31,data/MSFT2
2005-08-30,data/MSFT2
2005-08-31,data/ORCL2
2013-08-15,data/MSFT2
2013-08-14,data/YHOO2
2013-08-16,data/ORCL2
2013-08-13,data/MSFT2
2013-08-12,data/GOOGL
2010-11-29,data/MSFT2
2012-04-25,data/ORCL2
2012-04-27,data/ORCL2
2012-04-26,data/ORCL2
2014-06-09,data/ORCL2
2014-06-03,data/ORCL2
2014-06-02,data/MSFT2
2012-08-17,data/MSFT2
2014-06-06,data/ORCL2
2014-06-05,data/ORCL2
2014-06-04,data/MSFT2
2007-12-19,data/MSFT2
2014-02-14,data/MSFT2
2007-08-07,data/MSFT2
2007-08-06,data/ORCL2
2015-04-09,data/YHOO2
2013-10-30,data/MSFT2
2013-10-31,data/MSFT2
2010-12-06,data/MSFT2
2010-12-07,data/ORCL2
2014-02-12,data/MSFT2
2014-02-13,data/MSFT2
2010-12-02,data/YHOO2
2010-12-01,data/ORCL2
2014-02-18,data/ORCL2
2014-02-19,data/ORCL2
2010-12-08,data/ORCL2
2010-12-09,data/ORCL2
2005-09-01,data/YHOO2
2005-09-02,data/ORCL2
2005-09-06,data/MSFT2
2004-11-19,data/GOOGL
2013-11-04,data/ORCL2
2013-11-01,data/MSFT2
2015-05-18,data/MSFT2
2015-05-19,data/MSFT2
2015-05-15,data/ORCL2
2015-05-11,data/MSFT2
2015-05-12,data/ORCL2
2015-05-13,data/GOOGL
2013-02-28,data/YHOO2
2013-02-27,data/MSFT2
